2026-01-28T09:32:50.121007081Z I0128 09:32:50.120986       1 nodelink_controller.go:289] Successfully updated nodeRef for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" and node "ip-10-0-102-200.us-west-1.compute.internal"
2026-01-28T09:32:50.121094672Z I0128 09:32:50.121068       1 nodelink_controller.go:250] Node "ip-10-0-102-200.us-west-1.compute.internal" has changed, updating
2026-01-28T09:32:50.122508156Z I0128 09:32:50.122487       1 nodelink_controller.go:70] Adding providerID "aws:///us-west-1c/i-0ef0478c5528c9769" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.122568387Z I0128 09:32:50.122555       1 nodelink_controller.go:70] Adding providerID "aws:///us-west-1c/i-0ef0478c5528c9769" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.122599808Z I0128 09:32:50.122589       1 nodelink_controller.go:109] Adding internal IP "10.0.102.200" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.122640579Z I0128 09:32:50.122628       1 nodelink_controller.go:109] Adding internal IP "10.0.102.200" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.122691500Z I0128 09:32:50.122680       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:50.122790191Z I0128 09:32:50.122774       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:50.122845122Z I0128 09:32:50.122819       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by providerID
2026-01-28T09:32:50.122927773Z I0128 09:32:50.122908       1 nodelink_controller.go:371] Found node "ip-10-0-102-200.us-west-1.compute.internal" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" with providerID "aws:///us-west-1c/i-0ef0478c5528c9769"
