2026-01-28T09:31:41.502678037Z I0128 09:31:41.502668       1 log.go:245] ConfigMap openshift-cluster-csi-drivers/aws-ebs-csi-driver-trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502723147Z I0128 09:31:41.502713       1 log.go:245] ConfigMap openshift-ingress-operator/trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502765598Z I0128 09:31:41.502751       1 log.go:245] ConfigMap openshift-machine-api/cbo-trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502802869Z I0128 09:31:41.502793       1 log.go:245] ConfigMap openshift-machine-api/mao-trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502840490Z I0128 09:31:41.502830       1 log.go:245] ConfigMap openshift-marketplace/marketplace-trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502876791Z I0128 09:31:41.502867       1 log.go:245] ConfigMap openshift-apiserver/trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502917762Z I0128 09:31:41.502907       1 log.go:245] ConfigMap openshift-authentication-operator/trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502955443Z I0128 09:31:41.502945       1 log.go:245] ConfigMap openshift-operator-controller/operator-controller-trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502993344Z I0128 09:31:41.502983       1 log.go:245] ConfigMap openshift-apiserver-operator/trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.503502975Z I0128 09:31:41.503479       1 warnings.go:110] "Warning: v1 Endpoints is deprecated in v1.33+; use discovery.k8s.io/v1 EndpointSlice"
2026-01-28T09:31:41.504158960Z I0128 09:31:41.504029       1 reflector.go:430] "Caches populated" type="*v1.Network" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.504497427Z I0128 09:31:41.504474       1 reflector.go:430] "Caches populated" type="*v1.Service" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.504670811Z I0128 09:31:41.504651       1 warnings.go:110] "Warning: v1 Endpoints is deprecated in v1.33+; use discovery.k8s.io/v1 EndpointSlice"
2026-01-28T09:31:41.504757153Z I0128 09:31:41.504741       1 reflector.go:430] "Caches populated" type="*v1.Endpoints" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.504935317Z I0128 09:31:41.504919       1 warnings.go:110] "Warning: v1 Endpoints is deprecated in v1.33+; use discovery.k8s.io/v1 EndpointSlice"
2026-01-28T09:31:41.505133621Z I0128 09:31:41.505116       1 reflector.go:430] "Caches populated" type="*v1.Service" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.505345056Z I0128 09:31:41.505325       1 reflector.go:430] "Caches populated" type="*v1.Service" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.505458979Z I0128 09:31:41.505440       1 reflector.go:430] "Caches populated" type="operator.openshift.io/v1, Resource=openshiftapiservers" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.508642560Z I0128 09:31:41.505895       1 dashboard_controller.go:143] Applying dashboards manifests
2026-01-28T09:31:41.509253424Z I0128 09:31:41.508898       1 reflector.go:430] "Caches populated" type="*v1.MachineConfigPool" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.509375227Z I0128 09:31:41.509354       1 reflector.go:430] "Caches populated" type="*v1.MachineConfig" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.510243736Z I0128 09:31:41.505934       1 allowlist_controller.go:106] Reconcile allowlist for openshift-multus/cni-sysctl-allowlist
2026-01-28T09:31:41.510498062Z I0128 09:31:41.507478       1 reflector.go:430] "Caches populated" type="*v1.Service" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.510664625Z I0128 09:31:41.510629       1 reflector.go:430] "Caches populated" type="*v1.Network" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.510700066Z I0128 09:31:41.507680       1 reflector.go:430] "Caches populated" type="*v1.Infrastructure" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.510885390Z I0128 09:31:41.508410       1 reflector.go:430] "Caches populated" type="*v1.IngressController" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.511021404Z I0128 09:31:41.508463       1 reflector.go:430] "Caches populated" type="*v1.Endpoints" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.511973055Z I0128 09:31:41.511954       1 reflector.go:430] "Caches populated" type="*v1.CertificateSigningRequest" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.512350153Z I0128 09:31:41.512323       1 reflector.go:430] "Caches populated" type="*v1.Node" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.512794233Z I0128 09:31:41.512777       1 reflector.go:430] "Caches populated" type="*v1.Pod" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.513677513Z I0128 09:31:41.513654       1 warnings.go:110] "Warning: v1 Endpoints is deprecated in v1.33+; use discovery.k8s.io/v1 EndpointSlice"
2026-01-28T09:31:41.514137583Z I0128 09:31:41.514118       1 warnings.go:110] "Warning: v1 Endpoints is deprecated in v1.33+; use discovery.k8s.io/v1 EndpointSlice"
